"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"88","Greg Dortch (ARI)","37","50","342","9.2","39","2","3","5","31","0","1","17","53.3","3.1","1.6%"
"89","David Moore (CAR)","32","57","351","11.0","21","2","3","1","0","0","0","17","53.1","3.1","0.8%"
"90","Cedric Tillman (CLE)","29","49","339","11.7","38","6","3","1","-5","0","1","11","51.4","4.7","25.4%"
"91","Noah Brown (WAS)","35","56","453","12.9","52","4","1","0","0","0","0","11","51.3","4.7","1.8%"
"92","Sterling Shepard (TB)","32","51","334","10.4","30","4","1","8","69","0","0","14","48.3","3.5","1.0%"
"93","Chris Olave (NO)","32","44","400","12.5","39","4","1","1","7","0","1","8","44.7","5.6","86.4%"
"94","Christian Kirk (HOU)","27","47","379","14.0","61","7","1","0","0","0","0","8","43.9","5.5","31.0%"
"95","Brandin Cooks (NO)","26","54","259","10.0","29","3","3","3","-3","0","0","10","43.6","4.4","3.9%"
"96","Rashee Rice (KC)","24","29","288","12.0","44","3","2","1","1","0","0","4","40.9","10.2","93.9%"
"97","Justin Watson (HOU)","22","32","289","13.1","49","2","2","0","0","0","0","16","40.9","2.6","1.0%"
"98","Van Jefferson (TEN)","24","40","276","11.5","43","4","2","0","0","0","0","15","39.6","2.6","0.7%"
"99","Kalif Raymond (DET)","17","22","215","12.6","38","3","2","2","0","0","0","12","39.5","3.3","0.6%"
"100","Tyler Boyd (FA)","39","57","390","10.0","40","4","0","1","3","0","0","15","39.3","2.6","0.7%"
"101","Troy Franklin (DEN)","28","53","263","9.4","30","5","2","2","8","0","0","16","39.1","2.4","4.1%"
"102","Dyami Brown (JAC)","30","40","308","10.3","51","5","1","3","26","0","1","15","37.4","2.5","5.5%"
"103","Brandon Aiyuk (SF)","25","47","374","15.0","53","5","0","0","0","0","0","7","37.4","5.3","53.7%"
"104","Kendrick Bourne (NE)","28","38","305","10.9","37","2","1","1","6","0","0","12","37.1","3.1","0.7%"
"105","Mike Williams (FA)","21","34","298","14.2","32","6","1","0","0","0","0","14","35.8","2.6","2.0%"
"106","Nelson Agholor (FA)","14","29","231","16.5","56","5","2","0","0","0","0","13","35.1","2.7","1.0%"
"107","Tyler Johnson (NYJ)","26","41","291","11.2","63","4","1","0","0","0","0","11","35.1","3.2","1.1%"
"108","JuJu Smith-Schuster (KC)","18","26","231","12.8","50","3","2","0","0","0","0","14","35.1","2.5","1.2%"
"109","Gabe Davis (FA)","20","42","239","12.0","22","6","2","0","0","0","1","10","33.9","3.4","2.3%"
"110","Lil'Jordan Humphrey (NYG)","31","45","293","9.5","41","5","1","0","0","0","1","14","33.3","2.4","0.7%"
"111","Curtis Samuel (BUF)","31","46","253","8.2","38","2","1","5","14","0","0","14","32.7","2.3","2.2%"
"112","John Metchie III (PHI)","24","37","254","10.6","28","3","1","0","0","0","0","13","31.4","2.4","1.0%"
